17200 57378
28737 71 398
34036 184 420
56369 156 641
40007 64 257
27812 32 69
34502 278 512
10026 173 460
48601 499 606
11160 126 418
12467 415 514
25135 357 614
53810 324 433
47152 196 530
18576 154 351
55851 389 391
34949 49 284
3838 373 606
57234 253 258
49022 214 635
50326 364 472
49089 93 425
27104 93 281
55365 288 684
13798 3 415
55303 16 637
56878 514 598
9948 116 430
34684 228 432
21053 27 203
48019 288 622
11448 248 469
51441 48 593
5790 472 642
27519 46 231
44796 22 681
20341 513 559
32436 401 516
36080 140 459
56478 389 491
10178 105 395
9151 333 629
18530 319 425
4699 463 554
18327 267 341
12507 11 184
41705 526 619
1507 177 612
16112 320 330
36028 249 571
18277 24 579
39763 34 222
36686 14 174
20533 165 658
13498 339 530
24050 179 417
10505 536 602
53220 78 594
12734 175 666
5504 237 602
37962 184 376
5756 181 509
17253 130 635
25027 109 352
22803 120 321
9548 133 429
12188 573 656
32787 94 293
33723 500 529
52609 61 153
48193 134 227
40938 47 59
19262 28 101
49093 176 341
6563 79 250
33150 53 602
45515 344 666
11514 29 366
56480 151 488
46422 579 668
49741 397 442
39235 260 625
39060 2 136
13766 304 652
1239 80 645
31726 178 489
54709 160 167
50930 201 256
17150 514 563
55282 3 484
2669 182 435
12056 394 661
786 82 449
33256 210 313
26849 182 209
28904 467 558
1175 439 635
18083 166 570
5656 185 334
13528 64 469
39762 46 226
28852 121 257
55739 74 244
26921 166 631
56083 23 343
52208 210 359
34120 409 583
28511 97 161
5466 109 353
31404 46 466
28734 313 511
18006 4 384
39361 113 325
48737 143 375
6414 73 621
47294 271 672
10545 198 336
44533 470 582
48381 500 692
32381 544 650
37468 205 529
26099 259 352
49825 70 250
48584 274 646
25241 625 642
4551 193 199
14582 249 602
8190 49 456
10369 147 391
6498 90 534
25790 306 405
25012 4 243
9141 524 681
57202 347 593
828 528 629
22268 159 616
50812 66 154
45400 283 318
28575 487 539
31182 338 355
38907 501 679
10143 134 611
4451 29 554
49297 29 337
40505 161 209
23838 161 203
8612 474 612
22699 423 588
6621 8 672
2572 109 407
12745 422 444
7152 10 613
18612 309 412
19488 178 532
140 379 410
12722 453 668
25760 314 348
49530 22 211
48438 2 399
47958 421 571
50540 152 439
12941 464 511
40793 394 687
10381 307 462
1409 111 506
16534 484 508
13435 118 449
2428 573 658
16200 162 277
20933 28 212
51639 144 362
19950 342 418
57334 93 490
36444 95 167
10431 391 682
24478 484 544
21206 274 679
1466 351 378
10040 34 373
40784 192 471
49442 176 580
37515 22 689
26529 276 298
7301 132 392
54493 354 484
33978 164 482
3022 417 535
47232 366 596
22063 47 496
3052 411 455
9026 124 589
57336 303 566
26033 308 443
10075 186 318
22629 550 683
12466 74 98
18574 414 589
54303 23 371
52254 312 391
49524 316 406
6489 109 161
38313 113 151
27180 269 419
3128 408 439
2026 122 152
9210 95 581
43077 58 265
32230 333 481
4481 47 283
20320 267 625
21272 649 674
32107 203 400
6481 133 438
16031 59 664
12523 307 390
54908 66 79
22663 62 197
51741 35 444
30658 392 589
51690 182 354
20592 490 548
20683 29 347
38323 146 233
12322 199 607
4450 624 674
12776 398 445
49218 266 410
42225 263 500
55087 106 573
27694 270 466
18091 590 660
54937 57 648
31214 377 602
35024 214 223
32694 1 668
49998 41 218
29098 499 652
15368 307 415
13545 208 493
10138 38 68
32047 89 257
50662 428 578
35546 424 645
32040 505 671
44883 203 458
16763 8 406
49111 112 371
44569 235 484
32060 14 142
28016 272 575
28914 294 650
48179 133 664
42996 166 510
51281 239 654
49365 183 257
35104 76 542
52845 412 682
5485 93 628
22019 29 468
13674 441 548
2766 229 652
35600 380 418
40776 130 299
1133 84 333
47886 196 234
21480 460 629
23496 29 70
20985 457 545
55003 367 658
18349 182 382
877 66 67
13436 168 544
47389 620 692
9316 330 543
32412 320 561
24883 504 549
25218 179 458
7913 260 536
6800 481 513
28507 103 526
35129 11 457
34848 122 326
41848 488 678
45022 125 590
21570 291 686
2321 497 531
55884 267 484
49253 288 623
41775 347 686
36006 360 564
47214 509 528
38608 322 542
5445 204 561
50180 242 406
38330 147 365
22222 229 320
52096 298 474
274 580 617
35724 120 316
17105 64 251
36848 309 617
51607 213 297
19163 61 442
15101 369 618
54722 135 160
54564 299 440
34647 175 328
34286 137 217
31005 77 409
11705 324 586
10533 244 632
36110 178 449
17180 110 585
9483 420 468
39227 264 634
19786 60 377
122 92 195
20417 484 554
313 92 176
31223 529 643
7473 91 463
46663 246 405
17321 576 610
2694 32 372
336 7 354
6445 31 135
6445 283 681
22863 136 554
51424 67 348
35561 436 578
55846 102 581
49800 365 374
25544 96 265
39834 134 555
36808 408 667
33351 429 618
25405 215 511
50456 135 563
51232 129 291
13258 51 356
35797 184 481
24714 375 422
1529 18 222
41943 222 308
50433 85 603
8371 627 654
41957 29 211
17216 79 629
53378 89 178
3798 59 118
8401 156 684
55028 45 352
15782 315 402
22917 36 678
7796 433 653
48420 116 679
25044 217 461
5113 221 428
17717 415 641
51209 173 610
48159 152 229
3858 124 471
49755 278 546
15991 432 571
4533 401 579
7367 17 130
50216 64 118
41348 170 601
34411 7 463
4275 23 675
8688 171 300
37170 117 669
4629 299 461
35954 596 632
34039 50 659
10620 9 499
43167 394 552
25784 295 376
11659 181 344
41587 180 350
23437 80 334
34996 108 204
48948 198 532
52826 451 645
50064 15 384
1210 440 593
33414 26 662
20009 212 582
36076 211 621
11024 35 197
31271 90 331
1949 379 380
15511 357 392
34323 580 614
53165 95 589
8314 279 598
30711 285 450
14247 280 643
27241 343 428
42469 232 582
48960 76 240
44297 218 667
4159 389 479
34803 35 425
56956 121 167
37197 276 518
12150 397 601
2478 235 372
25728 161 215
46839 101 139
46847 124 451
39431 228 446
43326 331 516
5718 329 562
34740 319 535
45559 327 575
45105 165 205
771 314 355
22535 216 444
36498 119 212
47013 107 168
24238 350 690
48841 67 78
25468 131 462
10839 340 515
8687 187 312
18474 535 595
41157 498 600
21491 119 595
17546 522 596
45157 302 316
29483 78 232
41756 67 670
44659 244 565
54189 125 282
13630 186 247
55191 208 659
44365 165 645
42418 146 375
49472 164 187
24253 42 322
28630 566 616
18557 44 192
55244 235 314
46112 307 387
28711 108 655
30927 642 682
16523 198 206
18971 509 659
28101 155 430
30409 2 477
48113 227 488
33960 307 532
37142 49 110
32118 72 486
5205 54 424
16417 186 381
33947 81 159
13350 111 267
11805 464 539
35249 377 597
4501 284 345
14016 129 291
36420 45 382
20301 192 592
30918 77 344
52278 231 446
45342 463 692
28578 391 617
39380 105 280
23362 334 552
19829 399 427
38562 463 490
18668 442 506
25410 47 412
19632 319 566
38912 407 652
15212 187 499
3672 208 256
10506 472 678
50967 254 383
25063 122 620
38274 218 553
5058 270 566
45684 207 497
9374 313 685
15676 627 628
14905 508 683
37776 283 495
47635 311 444
29178 62 419
56866 237 475
29882 115 201
33213 292 469
47967 210 213
46054 438 630
42134 247 482
55129 555 558
2322 250 556
18535 64 222
23329 484 539
19833 5 168
46513 154 279
8742 345 629
17279 116 585
47799 268 494
21673 195 349
9162 134 486
12218 127 664
47739 100 582
13211 350 617
18639 457 664
46454 249 466
12548 406 632
19355 641 690
42562 357 607
24531 84 444
35409 238 264
38151 356 361
5657 596 673
6000 298 598
42160 420 654
44397 415 430
28227 186 665
18667 39 414
11215 175 246
16390 536 625
27069 467 554
27328 2 311
75 130 192
32632 20 496
6389 135 171
17527 401 499
46508 295 687
46255 60 374
42033 220 441
27550 40 639
15110 255 346
29431 330 526
2947 236 392
49341 27 426
2074 167 448
39248 268 652
22651 8 208
30797 379 625
41541 95 351
51811 434 561
14009 31 263
38427 89 582
32706 315 367
50483 258 627
30469 105 586
15456 338 633
10853 325 511
55226 405 583
6731 263 465
36987 10 398
34558 149 436
53242 137 272
44048 488 489
12669 292 575
55339 265 293
4718 8 535
48926 368 633
55987 163 349
6785 72 418
45020 50 480
51501 237 533
54337 56 107
56624 410 653
9339 205 686
38163 497 499
54832 493 536
14595 83 199
24781 589 682
861 158 674
53840 73 158
13063 195 325
44279 425 534
53736 133 530
53642 52 588
622 206 493
34784 188 665
15369 228 398
39202 312 576
7281 279 680
9150 135 602
9480 16 335
43780 211 459
29061 9 181
52923 3 152
40697 165 522
54153 235 600
26478 87 665
17960 515 640
55080 171 241
13380 54 672
12595 16 30
45152 323 377
5330 254 468
7287 75 275
22538 396 471
29845 359 652
30256 412 616
27638 369 431
2738 246 449
17401 247 554
22903 129 642
14506 322 678
28191 401 643
3218 225 540
20632 246 546
33933 15 256
43196 180 248
37098 168 617
55527 208 617
45574 348 649
16737 41 341
32418 289 643
43642 190 656
6780 24 293
35659 392 527
42781 242 518
2709 588 605
45036 185 416
51064 503 566
17280 330 638
21770 222 582
34822 277 405
4923 453 538
6367 275 677
17028 195 224
22744 168 607
40737 163 415
26142 293 620
41772 70 79
4476 106 614
20726 213 527
3623 231 458
41288 65 558
52537 48 71
20842 224 518
56969 402 411
28716 280 670
23439 543 585
10666 3 446
51796 201 332
49246 187 432
940 54 161
16197 238 544
35669 11 559
22447 41 235
1065 221 670
27810 337 638
28667 214 517
27117 275 483
53794 515 647
29028 199 408
40288 34 668
27495 283 481
11322 243 541
44567 219 309
745 342 405
49751 518 682
2955 189 253
12922 69 617
13405 3 311
53425 179 492
20995 263 325
36834 232 274
4125 104 127
57016 139 360
19337 315 491
1130 82 629
25780 561 674
20387 400 412
48723 265 515
54351 223 239
17248 89 385
18156 31 611
2176 112 583
16507 254 676
30031 148 681
21885 353 510
37834 432 691
14415 364 501
52867 267 485
32831 112 496
53171 66 427
2326 49 76
7712 357 606
22600 222 394
5288 35 366
29099 284 409
54744 672 691
5213 95 482
16285 113 251
48750 83 387
13525 128 449
35359 366 490
29334 50 639
54780 117 658
11521 47 364
21930 675 680
48390 164 394
37052 92 597
4237 496 519
1678 109 678
5300 18 112
47080 371 688
13605 93 145
51339 318 640
29404 141 576
26016 256 469
8893 131 257
5542 34 125
47220 134 451
9675 147 536
50273 259 548
16882 324 491
48654 529 673
56822 63 303
52025 191 300
48696 136 640
1583 69 507
43306 313 614
20130 185 321
3776 164 419
13720 146 606
17565 129 409
7606 8 390
30204 73 512
27590 116 209
9908 211 237
7332 91 634
2691 70 458
3756 53 522
29247 106 549
20153 250 661
20122 68 433
24228 140 293
30093 253 404
49838 136 432
41643 479 610
57255 192 554
21691 133 621
28378 238 650
37811 350 373
54833 47 239
14540 392 484
4662 81 596
45286 538 564
15680 476 501
47743 142 238
30460 54 372
4692 344 669
35816 141 516
52913 98 659
8745 110 301
23284 118 314
8330 101 297
7496 212 386
55527 397 689
43776 379 441
8996 79 648
13770 205 633
9896 309 321
34849 201 628
41328 175 578
33602 148 438
5930 277 650
46109 539 545
20899 376 507
34145 241 282
50771 45 419
33003 361 436
24819 30 148
49584 635 656
5112 53 154
40484 208 611
25750 107 302
38066 57 641
2958 174 462
55104 15 94
20013 202 333
18554 302 677
34682 263 603
28060 441 473
49677 143 265
31223 330 449
44407 387 496
16777 586 680
44913 12 309
52629 460 539
22213 1 551
28128 354 452
14650 201 429
5561 26 131
6056 437 604
36142 258 372
22034 115 584
51097 106 595
29462 75 164
51677 620 643
15102 322 334
42084 629 629
53545 193 478
31312 39 210
29178 32 79
23858 197 662
33986 210 306
53911 92 627
36867 86 284
42502 422 462
35589 311 388
22994 114 381
44685 116 475
50262 12 130
32256 219 336
24254 63 461
38388 24 146
17068 204 573
11299 97 503
5997 60 305
46277 105 579
19950 219 593
25256 268 611
27860 585 586
34073 56 580
6133 190 308
15705 24 378
24478 464 575
16821 140 464
43353 268 563
16019 297 468
50438 332 511
50715 14 554
11653 375 484
56852 168 612
55552 196 582
50286 142 556
55003 88 476
7013 237 646
49474 77 238
42154 182 332
21452 22 93
9625 48 507
23404 289 459
7983 212 417
42087 23 646
23144 516 657
39406 183 353
25485 248 642
495 417 655
43895 135 633
23870 527 584
8439 179 550
30414 443 554
33865 86 272
38649 326 632
49710 197 240
47567 262 331
38901 25 48
36251 80 616
38503 22 329
51803 587 691
3188 336 644
23869 217 385
34149 91 146
1977 415 567
51766 229 678
56317 502 584
52156 94 234
33238 235 290
46491 436 456
43432 108 136
27870 267 660
48567 250 347
2118 447 519
12784 198 385
12734 16 450
43698 17 460
35544 120 616
26631 71 304
34970 74 642
27275 327 616
37003 596 639
40363 446 552
49270 72 679
25190 480 543
31751 226 291
36505 268 385
35297 137 175
17956 358 614
9420 338 474
35740 368 498
45564 16 677
33062 243 507
25997 132 147
9051 113 609
37425 58 633
6191 418 567
29421 129 527
50680 34 124
53395 4 424
18401 28 351
41853 81 571
15719 65 324
13740 287 396
8604 115 210
17904 126 361
563 149 414
326 31 402
16053 237 659
37643 399 497
26629 305 344
50201 253 496
35109 140 498
48530 298 585
32558 352 689
46125 415 538
53006 238 246
20365 109 392
17530 113 638
11176 238 543
55724 6 686
7804 20 411
53323 127 173
55962 512 576
43909 152 486
11132 39 104
46314 49 93
54480 467 470
15062 56 444
31536 328 575
36024 156 416
41089 364 666
25915 245 636
23145 329 472
4237 303 379
27271 550 679
29464 87 585
8133 53 181
10187 120 423
25816 7 406
36045 570 578
20734 303 421
52706 117 645
24068 299 365
14942 281 552
37274 325 509
35099 147 629
38251 121 496
21890 425 521
36802 259 451
18407 38 473
11910 511 648
15967 122 537
34347 88 378
43509 154 476
36682 388 410
45371 361 365
52042 14 451
11307 302 320
55359 107 457
2456 82 158
6777 73 128
19580 110 336
17903 297 470
40314 190 569
26268 151 442
48673 40 103
25472 179 302
35965 143 332
1493 104 140
3967 15 60
40072 567 598
18729 362 437
54066 437 480
56089 489 544
49425 389 500
26675 338 419
9679 103 672
22498 340 379
1886 402 412
25067 63 557
42189 72 405
49510 301 397
27282 238 528
32087 155 292
664 306 352
57322 344 521
45158 57 550
55812 347 691
24025 517 649
29771 212 579
37516 48 611
39367 300 444
52252 161 164
33977 242 517
54627 209 333
29757 178 451
40834 132 271
29455 128 397
3814 157 639
32421 131 233
19955 149 546
48865 5 298
36892 354 628
27498 467 605
9268 162 256
1585 58 474
13041 62 230
30300 269 616
31021 496 578
9594 71 252
56095 118 344
38158 45 301
26511 382 564
8725 340 567
31974 201 588
14221 148 530
122 244 633
29588 27 309
19620 251 682
32562 325 629
26947 530 579
9152 430 642
44182 316 595
39451 261 386
27520 282 449
52006 17 127
37015 201 510
17572 218 314
49184 250 359
519 399 467
20810 165 176
7259 18 273
1430 340 481
37986 28 145
55765 489 592
29388 459 690
629 102 242
4055 400 511
16710 374 407
41794 412 457
7143 476 516
5274 313 475
41831 91 125
39452 143 354
46918 195 239
3979 115 431
15175 359 584
31824 208 679
15870 222 444
2120 327 692
46458 226 536
16239 224 375
4190 381 525
15554 384 637
3257 115 639
2370 78 378
39764 183 257
2188 143 360
30712 24 203
54415 85 445
56585 582 641
29043 92 617
3857 486 514
850 9 611
34766 617 680
53397 9 489
38934 83 556
7166 62 575
10182 452 580
33516 542 620
53744 41 396
3668 104 209
49069 133 414
16137 340 620
3321 582 682
10620 39 648
54088 320 460
9597 25 361
18028 252 487
17548 353 389
53578 18 263
8491 291 379
23499 75 422
55728 40 296
7984 206 207
54500 338 404
25664 211 275
43055 383 498
24060 24 47
11728 324 341
7545 159 492
53595 81 325
43632 83 661
15295 26 69
35944 109 408
2481 124 620
29675 639 645
22864 48 388
3128 129 554
2832 453 533
38067 86 377
29730 234 591
45074 247 436
39728 114 208
55781 14 467
18687 7 612
23462 84 539
35442 1 149
31594 144 364
20522 120 387
51438 77 388
25087 323 377
49612 58 68
2419 98 100
45227 238 516
16791 425 664
3726 387 572
38793 88 507
30484 158 284
21165 227 566
44900 1 79
35385 291 513
24279 223 349
10052 489 535
21080 173 175
29284 291 358
48515 531 621
25295 385 616
50246 161 171
31343 303 478
55261 52 410
51464 84 688
41189 74 642
43625 133 480
13655 288 603
22776 77 282
48081 210 343
31694 34 631
14550 501 587
780 282 396
54216 36 611
49785 377 431
52377 244 555
2269 475 509
24656 278 621
56250 19 91
16589 340 478
43488 677 690
33253 207 504
13283 381 549
43223 313 430
56029 104 358
27376 342 453
50408 88 306
21373 214 348
5985 222 242
41727 43 111
12356 1 144
8307 200 395
18689 152 414
15560 32 555
52371 414 629
27864 394 453
7109 486 527
45170 358 656
7667 342 638
37891 430 443
25782 5 682
53016 196 591
44901 243 399
37608 30 573
29427 70 671
53205 76 419
4585 175 577
8533 581 601
51402 468 542
21396 37 647
45076 483 571
11984 497 666
7286 394 646
3520 305 589
39196 82 465
20760 48 527
53354 94 165
20696 157 248
1073 69 93
26973 309 349
21469 224 284
17825 590 639
19446 105 463
9565 115 368
54644 353 490
45248 16 576
3884 204 541
1961 243 475
19127 107 636
50922 285 583
2520 176 293
48358 128 650
55173 333 424
43461 75 601
40351 364 518
54963 634 647
46167 279 586
29918 456 562
14474 39 299
26861 295 443
800 263 576
9656 304 577
26311 37 377
12861 32 315
42075 561 622
54183 34 453
44068 4 314
32891 41 55
5548 269 364
13687 341 600
39817 61 328
43998 249 351
2507 6 294
897 242 381
38721 288 475
32275 301 621
8503 258 683
21249 40 191
48051 43 297
36047 563 588
1640 383 406
25128 375 405
7259 56 125
15565 264 337
35072 187 439
27162 231 321
255 269 328
20082 190 519
26310 158 688
7776 146 153
27184 17 358
27357 403 531
39499 121 524
15712 301 622
34741 74 205
35088 149 181
47037 55 609
48008 77 336
52647 407 605
35415 602 606
22166 279 411
6020 180 379
49565 217 539
34046 203 322
55667 55 389
51971 235 628
17890 404 586
49070 388 670
56965 273 617
40683 78 327
4279 11 235
33691 390 684
48335 299 364
14922 272 526
16936 103 275
13015 311 375
10043 33 303
23141 550 587
2050 404 550
20982 207 620
27158 465 473
10209 195 516
49658 552 621
30034 45 379
56630 71 663
42855 477 652
6035 25 646
35385 207 631
33427 79 316
55515 248 422
4742 282 357
45158 178 396
41514 547 614
20816 404 568
6067 602 643
36958 369 628
7954 5 588
7814 110 224
8424 32 583
17144 452 584
52998 153 628
46368 271 553
29474 30 296
20545 63 644
46897 2 528
3977 97 681
52370 515 640
22877 385 596
20478 424 639
21755 91 680
440 79 329
33093 277 641
49121 160 463
30384 19 542
26759 438 605
29728 151 593
8872 123 454
1217 363 560
45912 349 496
5555 75 502
46182 91 239
54075 178 199
46471 10 488
20719 263 580
55812 335 635
46680 18 24
27584 48 472
8083 196 270
4932 473 676
37947 479 691
39751 260 590
55433 22 547
13345 7 615
15484 24 47
56676 157 343
14188 224 692
23072 137 464
18092 72 581
31122 560 633
36065 95 284
24334 25 531
22702 19 59
25934 103 399
29496 25 560
20420 338 606
52302 263 569
34407 156 218
45994 150 561
32767 454 465
39944 429 580
40941 1 692
27480 245 438
46520 73 75
21662 337 422
7991 364 538
2696 212 329
20234 544 681
54333 330 388
38722 247 310
19981 241 440
19042 122 601
40779 5 617
42065 148 352
8060 510 651
32068 64 582
50752 242 661
54177 459 684
5006 456 566
29952 347 676
30359 59 510
33222 579 619
11019 271 472
48398 63 341
47243 572 601
52875 24 169
54846 95 271
4449 172 341
19750 64 386
12105 580 672
17404 106 204
27503 283 511
3628 548 551
50562 495 584
8847 210 232
44889 341 655
25984 35 79
24331 332 542
4376 404 514
55815 442 498
33909 261 452
24539 218 612
18345 223 272
4138 604 671
53779 62 557
17171 193 207
6657 131 296
1632 252 556
55520 450 496
5184 565 602
24136 10 680
25995 243 344
7604 24 376
54749 227 288
21270 473 656
27214 403 591
7033 171 265
10151 239 332
50826 6 614
47699 78 352
24376 78 501
32428 86 413
15483 141 488
6697 57 444
41218 340 538
18278 219 398
12900 134 512
25722 63 148
18499 457 652
37021 141 496
46169 69 689
48065 107 372
5375 63 476
34625 226 509
38130 276 400
46985 56 257
36040 103 480
32042 251 261
56121 596 635
14981 34 45
52956 433 506
28220 319 480
32463 397 531
39499 187 575
22853 155 422
17292 425 560
6853 337 593
15560 241 368
20185 352 452
53844 177 261
39973 7 11
8486 213 579
7912 242 532
20043 17 469
32209 42 144
22492 38 58
9103 630 671
35163 244 566
1039 260 587
7788 237 290
24881 334 439
29026 321 608
38007 192 531
25442 127 687
50117 184 515
17591 178 294
23092 144 225
25680 268 403
36560 14 539
49078 506 615
10440 105 315
47056 215 612
56905 62 444
15017 312 355
56257 7 471
55246 86 548
6640 187 402
14107 241 247
54472 138 402
52467 52 292
23436 389 418
52898 136 614
30419 446 532
32743 292 470
12115 1 546
646 271 418
735 580 686
1506 380 483
37003 70 318
52553 43 530
9735 34 43
7823 2 52
49299 35 56
46614 41 428
28062 263 560
49411 431 550
9163 11 410
44571 463 494
29687 489 633
24696 235 446
24432 218 295
2144 126 505
15770 366 371
18171 96 518
33775 92 199
49978 446 630
17356 91 657
30416 189 530
2523 10 616
16132 28 202
2730 184 677
55909 192 272
37740 74 109
36275 65 328
3817 30 253
3863 604 667
49167 182 657
35131 85 336
7281 519 576
53137 12 203
49306 140 152
35288 560 672
20788 281 436
28275 120 663
50654 204 340
17213 10 420
53921 232 465
9177 234 443
2712 172 564
19129 26 220
19654 291 434
321 524 667
30967 86 333
24984 8 593
36065 346 510
18367 180 230
17597 55 168
7441 303 673
27902 462 504
28686 392 535
22050 516 530
30205 140 673
14870 515 541
44661 360 435
37761 241 425
56110 286 291
19173 120 239
48308 26 544
21701 441 495
31186 333 659
26268 430 533
16321 2 532
16583 43 280
50567 336 550
43308 52 424
40437 220 583
4042 303 668
25955 57 370
9816 254 276
19523 183 574
52277 241 282
38932 55 186
4759 10 32
23146 486 571
6174 370 633
33059 89 154
18476 257 387
3079 508 625
5307 90 571
1572 102 347
15437 592 686
35858 225 458
33546 96 384
32756 202 433
51840 519 551
1366 2 118
7644 119 153
11466 217 492
27215 434 467
55385 420 440
55537 59 448
4983 119 573
3028 82 550
25524 500 687
37677 136 480
54428 147 298
52310 44 640
45653 38 677
7167 132 652
23070 179 377
45629 5 83
52368 157 348
42039 248 471
19267 53 217
14622 445 625
45950 543 569
4097 224 534
21385 297 332
27807 359 641
22597 26 108
10740 446 478
38838 389 465
21139 220 576
27293 263 546
5441 32 389
19380 275 631
51943 135 518
28589 119 465
24935 167 605
23275 199 342
21489 265 388
11838 160 384
49339 207 543
33687 250 427
10280 13 396
16736 203 552
19400 294 590
53679 336 489
55468 119 380
14436 362 479
45151 404 468
50819 267 366
40700 566 603
4887 78 479
52783 273 337
42873 377 660
6122 252 407
27412 213 662
2539 173 407
1064 422 469
51002 365 519
37787 55 291
16506 198 630
28890 566 661
50940 499 689
28804 644 654
4517 252 483
52642 387 619
56954 204 244
44099 101 463
5690 20 230
16473 25 205
33105 5 507
4194 195 584
4185 205 633
34814 337 484
41981 75 80
22125 305 399
9295 106 466
51144 175 374
8829 461 495
24555 397 485
42343 35 639
10233 175 460
41447 541 675
16792 85 205
6259 138 286
24556 173 334
15507 473 502
24241 53 185
14806 209 650
17995 7 199
51336 182 223
42557 345 514
34757 224 344
544 367 630
39104 270 516
25986 456 602
8218 90 450
55510 481 597
39595 305 363
11943 64 225
46477 66 516
5872 89 621
12368 91 486
9127 441 473
41357 281 359
34200 551 611
46610 551 589
42544 387 526
38574 113 123
37626 393 583
16605 347 577
49033 156 323
49992 286 664
9153 169 624
29771 49 628
46998 216 471
14406 100 158
17731 537 650
46250 210 275
38147 156 278
86 306 566
28065 202 491
46297 180 386
14030 81 235
57229 24 627
3254 453 507
51194 238 312
46323 3 513
23924 454 493
11610 358 468
6905 95 175
21209 571 612
12905 172 197
47531 23 492
39544 35 137
13731 363 574
23199 117 692
36023 95 580
33204 232 335
32057 278 564
2413 207 523
1901 490 574
42660 10 568
21300 108 533
13132 264 680
12468 261 354
46628 184 309
39457 33 104
7095 54 462
22611 198 591
17461 106 627
5388 236 262
40803 240 425
36568 376 532
44656 624 647
33176 327 470
21277 139 289
49370 284 446
9906 350 403
22790 253 497
39312 295 502
18265 60 446
49138 113 165
2001 292 528
35601 387 663
46040 226 307
57237 209 673
55556 73 588
43971 77 378
29302 599 669
37645 261 304
38309 213 294
42656 143 448
18478 114 675
52508 325 397
23207 516 567
53990 250 495
17907 398 679
34961 261 653
53258 54 584
11806 134 478
34223 9 188
9722 641 678
32355 646 680
24989 41 226
12901 557 675
35082 67 478
42020 441 518
30397 170 573
6709 215 357
21347 214 676
41053 576 588
20771 367 477
43607 152 186
5513 137 157
25948 541 657
30068 72 532
57259 402 436
40878 190 476
40567 59 591
48406 374 439
49414 473 561
21058 47 61
43149 300 565
11094 339 447
8910 145 383
186 208 288
44448 505 572
28044 248 260
31052 341 478
5034 536 551
2040 622 689
46713 225 677
9561 291 649
28324 228 332
19830 49 425
47376 93 218
46064 40 119
89 216 417
18828 119 422
22180 24 433
48799 359 683
6479 384 390
34560 104 139
42143 248 486
17832 318 577
15427 156 158
54790 461 602
18421 201 424
26256 111 149
9764 331 465
35103 78 532
55026 114 470
38751 130 597
34194 43 387
55915 97 545
47874 64 362
2797 111 495
25522 224 597
26151 422 650
11131 101 672
28922 70 248
33937 401 640
38378 186 659
1007 192 374
33799 242 558
28346 368 680
45941 94 384
5908 13 500
56598 69 621
56951 526 683
2576 191 688
37123 156 164
16611 164 341
36685 339 393
57044 226 554
